,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,Cities
0,2009,Toyota,Camry,"99,864",1st Owner,Petrol,"₹3,07,299",Automatic,W4 AT Automatic,Mumbai
1,2015,BMW,3 Series,"63,677",2nd Owner,Diesel,"₹13,98,899",Automatic,320D LUXURYLINE Automatic,Mumbai
2,2017,Maruti,Dzire,"19,822",1st Owner,Petrol,"₹6,28,699",Automatic,VXI AMT Automatic,Mumbai
3,2016,Hyundai,Creta,"36,863",1st Owner,Petrol,"₹8,76,399",Manual,1.6 SX PLUS VTVT Manual,Mumbai
4,2016,Maruti,Baleno,"42,062",1st Owner,Petrol,"₹6,31,899",Automatic,ZETA 1.2 K12 CVT Automatic,Mumbai
5,2020,Skoda,Rapid,"6,981",1st Owner,Petrol,"₹9,01,299",Manual,1.0 AMBITION TSI MT Manual,Mumbai
6,2019,Tata,Harrier,"22,757",1st Owner,Diesel,"₹14,96,999",Manual,XZ 2.0L Kryotec Manual,Mumbai
7,2016,Maruti,Swift,"82,420",1st Owner,Diesel,"₹5,34,399",Manual,ZDI Manual,Mumbai
8,2019,KIA,SELTOS,"12,046",1st Owner,Petrol,"₹17,78,199",Manual,GTX+ 1.4 MT Manual,Mumbai
9,2019,KIA,SELTOS,"5,348",1st Owner,Petrol,"₹18,49,799",,GTX+ 1.4 MT,Mumbai
10,2019,KIA,SELTOS,"14,320",1st Owner,Petrol,"₹16,20,899",Manual,GTX+ 1.4 MT Manual,Mumbai
11,2020,Hyundai,VENUE,547,1st Owner,Petrol,"₹8,26,399",Manual,S MT 1.2 KAPPA Manual,Mumbai
12,2017,Maruti,Baleno,"12,840",2nd Owner,Petrol,"₹6,04,399",Manual,RS 1.0 PETROL Manual,Mumbai
13,2018,Maruti,Ciaz,"15,112",1st Owner,Petrol,"₹7,80,599",Automatic,ALPHA 1.4 VVT AMT Automatic,Mumbai
14,2012,Hyundai,i20,"37,982",1st Owner,Petrol,"₹3,67,499",Manual,ASTA 1.2 Manual,Mumbai
15,2018,Volkswagen,Polo,"43,686",1st Owner,Petrol,"₹5,06,499",Manual,Trendline 1.0 L Petrol Manual,Mumbai
16,2015,Hyundai,Creta,"1,10,584",1st Owner,Diesel,"₹9,07,699",Manual,1.6 SX CRDI Manual,Mumbai
17,2016,Volkswagen,Ameo,"31,192",2nd Owner,Petrol,"₹5,26,499",Manual,HIGHLINE 1.2 Manual,Mumbai
18,2017,Hyundai,i20 Active,"57,900",1st Owner,Petrol,"₹5,82,699",Manual,1.2 S Manual,Mumbai
19,2014,Hyundai,Elite i20,"43,096",2nd Owner,Petrol,"₹5,12,599",Manual,ASTA 1.2 Manual,Mumbai
20,2016,Maruti,Vitara Brezza,"97,103",1st Owner,Diesel,"₹7,73,199",Manual,ZDI PLUS Manual,Mumbai
21,2017,Honda,WR-V,"1,00,164",1st Owner,Petrol,"₹6,92,499",Manual,1.2 i-VTEC VX MT Manual,Mumbai
22,2016,Hyundai,i20 Active,"82,548",1st Owner,Diesel,"₹5,96,399",Manual,1.4 S Manual,Mumbai
23,2017,Honda,WR-V,"37,871",1st Owner,Petrol,"₹7,23,799",Manual,1.2 i-VTEC VX MT Manual,Mumbai
24,2017,Honda,WR-V,"53,017",1st Owner,Diesel,"₹7,61,999",Manual,1.5 i-DTEC VX MT Manual,Mumbai
